Driver,Team,Grid,Finishpos,Circuit,Country,Season,FastestLap,AverageTime,pitstops,DNF,Driver_enc,Team_enc,Track_enc,Win
VET,Ferrari,3.0,1.0,Australian Grand Prix,Australia,2018,86.469,88.057843137,2,0,0,0,0,1
HAM,Mercedes,1.0,2.0,Australian Grand Prix,Australia,2018,86.444,87.96932653,2,0,1,1,0,0
RAI,Ferrari,2.0,3.0,Australian Grand Prix,Australia,2018,86.373,88.057142857,2,0,2,0,0,0
RIC,Red Bull Racing,8.0,4.0,Australian Grand Prix,Australia,2018,85.945,88.619568627,2,0,3,2,0,0
ALO,McLaren,10.0,5.0,Australian Grand Prix,Australia,2018,86.978,89.144549019,2,0,4,3,0,0
VER,Red Bull Racing,4.0,6.0,Australian Grand Prix,Australia,2018,86.88,88.937702127,2,0,5,2,0,0
HUL,Renault,7.0,7.0,Australian Grand Prix,Australia,2018,87.081,89.196285714,2,0,6,4,0,0
BOT,Mercedes,15.0,8.0,Australian Grand Prix,Australia,2018,87.019,89.387204081,2,0,7,1,0,0
VAN,McLaren,11.0,9.0,Australian Grand Prix,Australia,2018,86.958,89.4282,2,0,8,3,0,0
SAI,Renault,9.0,10.0,Australian Grand Prix,Australia,2018,87.944,89.464666666,2,0,9,4,0,0
PER,Force India,12.0,11.0,Australian Grand Prix,Australia,2018,87.633,89.687673469,2,0,10,5,0,0
OCO,Force India,14.0,12.0,Australian Grand Prix,Australia,2018,87.6,89.945382978,2,0,11,5,0,0
LEC,Sauber,18.0,13.0,Australian Grand Prix,Australia,2018,88.759,90.499448979,3,0,12,6,0,0
STR,Williams,13.0,14.0,Australian Grand Prix,Australia,2018,88.511,90.60778,3,0,13,7,0,0
HAR,Toro Rosso,16.0,15.0,Australian Grand Prix,Australia,2018,88.176,90.492291666,2,0,14,8,0,0
GRO,Haas F1 Team,6.0,16.0,Australian Grand Prix,Australia,2018,88.805,90.244954545,1,0,15,9,0,0
MAG,Haas F1 Team,5.0,17.0,Australian Grand Prix,Australia,2018,89.534,90.3485,1,0,16,9,0,0
GAS,Toro Rosso,20.0,18.0,Australian Grand Prix,Australia,2018,90.649,91.655545454,1,0,17,8,0,0
ERI,Sauber,17.0,19.0,Australian Grand Prix,Australia,2018,92.21,92.6055,1,0,18,6,0,0
SIR,Williams,19.0,20.0,Australian Grand Prix,Australia,2018,92.573,93.217666666,1,0,19,7,0,0
VET,Ferrari,1.0,1.0,Bahrain Grand Prix,Bahrain,2018,94.453,95.543849056,2,0,0,0,1,1
BOT,Mercedes,3.0,2.0,Bahrain Grand Prix,Bahrain,2018,93.74,95.429423076,2,0,7,1,1,0
HAM,Mercedes,9.0,3.0,Bahrain Grand Prix,Bahrain,2018,93.953,95.357196078,2,0,1,1,1,0
GAS,Toro Rosso,5.0,4.0,Bahrain Grand Prix,Bahrain,2018,94.863,96.130509803,3,0,17,8,1,0
MAG,Haas F1 Team,6.0,5.0,Bahrain Grand Prix,Bahrain,2018,94.327,96.30617647,3,0,16,9,1,0
